Vendedor,NroFactura,FechaFactura,Cliente,MontoSinImp,Impuestos,Costo,MontoFactura,Tipo,,,,
Laura,1,1/3/2014,Semillas Santo Mongo,765.68,203.53,109,969.21,Empresa,,,,
Maria,2,1/3/2014,Buffalo Cnia,420.6,111.8,56,532.4,Empresa,,,,
Juan,3,1/3/2014,Englewood Cnia,108.98,28.96,113,137.94,Empresa,,,,
Alfonso,4,1/4/2014,"Ross, Christian",304.94,81.05,75,385.99,Persona,,,,
Juan,5,1/4/2014,"Diaz, Gabriel",107.07,28.45,111,135.52,Persona,,,,
John,6,1/4/2014,"Gao, Ronnie",665.31,176.85,117,842.16,Persona,,,,
Juan,7,1/4/2014,"Smith, Jonathan",335.53,89.18,86,424.71,Persona,,,,
Luz,8,1/4/2014,"Bryant, Seth",292.51,77.75,76,370.26,Persona,,,,
John,9,1/5/2014,"Adams, Wyatt",526.71,140,83,666.71,Persona,,,,
Penelope,10,1/5/2014,"Kumar, Kevin",485.6,129.08,106,614.68,Persona,,,,
John,11,1/5/2014,Trenton Cnia,519.06,137.97,87,657.03,Empresa,,,,
Carla,12,1/5/2014,"Liu, Louis",269.57,71.65,73,341.22,Persona,,,,
Maria,13,1/5/2014,"Evans, Devin",270.52,71.91,65,342.43,Persona,,,,
Pedro,14,1/5/2014,Corda Empresa de Correos,483.69,128.57,64,612.26,Empresa,,,,
Alfonso,15,1/6/2014,"Ortega, Marvin",644.28,171.26,81,815.54,Persona,,,,
Penelope,16,1/6/2014,"Bebbington, Mark",768.55,204.29,119,972.84,Persona,,,,
Carla,17,1/6/2014,"Green, James",406.26,107.99,59,514.25,Persona,,,,
Juan,18,1/6/2014,Round Ventures,805.83,214.2,98,1020.03,Empresa,,,,
Penelope,19,1/7/2014,South Portland Cnia,607,161.35,60,768.35,Empresa,,,,
Luz,20,1/7/2014,"Ramos, Dwayne",136.7,36.33,102,173.03,Persona,,,,
Carla,21,1/7/2014,Orlando Cnia,789.58,209.88,92,999.46,Empresa,,,,
Laura,22,1/7/2014,"Gao, Ronnie",581.19,154.49,80,735.68,Persona,,,,
Juan,23,1/8/2014,"Adams, Wyatt",501.85,133.4,71,635.25,Persona,,,,
Pedro,24,1/8/2014,Falmouth Cnia,470.31,125.01,58,595.32,Empresa,,,,
Maria,25,1/8/2014,Greenville Cnia,836.42,222.33,83,1058.75,Empresa,,,,
Juan,26,1/8/2014,"Ortega, Marvin",838.33,222.84,98,1061.17,Persona,,,,
Maria,27,1/8/2014,Trenton Cnia,392.88,104.43,63,497.31,Empresa,,,,
Alfonso,28,1/9/2014,Oregon Cnia,416.78,110.78,64,527.56,Empresa,,,,
Pedro,29,1/9/2014,Fiorilo Transportes y Correo,397.66,105.7,95,503.36,Empresa,,,,
Laura,30,1/9/2014,"Baileya, Angela",353.69,94.01,70,447.7,Persona,,,,
Pedro,31,1/9/2014,Burbank Cnia,304.94,81.05,59,385.99,Empresa,,,,
Laura,32,1/9/2014,Round Ventures,489.43,130.09,69,619.52,Empresa,,,,
Pedro,33,1/9/2014,Round Ventures,451.19,119.93,56,571.12,Empresa,,,,
Alfonso,34,1/10/2014,"Baileya, Angela",281.04,74.7,76,355.74,Persona,,,,
Penelope,35,1/10/2014,"Morgan, Brian",268.61,71.4,81,340.01,Persona,,,,
Luz,36,1/10/2014,Sunbury Cnia,244.72,65.04,89,309.76,Empresa,,,,
Maria,37,1/10/2014,Grupo Ases,629.94,167.45,112,797.39,Empresa,,,,
John,38,1/11/2014,"Rivera, Adrian",660.53,175.58,65,836.11,Persona,,,,
Pedro,39,1/11/2014,"Turner, Richard",454.06,120.69,56,574.75,Persona,,,,
Carla,40,1/11/2014,Kolkata Cnia,390.01,103.67,98,493.68,Empresa,,,,
Luis,41,1/11/2014,Kolkata Cnia,609.87,162.11,92,771.98,Empresa,,,,
Luz,42,1/11/2014,"Mitchell, Connor",154.86,41.16,96,196.02,Persona,,,,
John,43,1/12/2014,"Davis, John",769.5,204.55,115,974.05,Persona,,,,
Laura,44,1/12/2014,Burbank Cnia,124.27,33.03,85,157.3,Empresa,,,,
Luis,45,1/12/2014,"Johnson, Dalton",224.64,59.71,60,284.35,Persona,,,,
Carla,46,1/13/2014,Kiela Cnia,282,74.95,58,356.95,Empresa,,,,
Luz,47,1/13/2014,Greenville Cnia,632.81,168.21,103,801.02,Empresa,,,,
Penelope,48,1/13/2014,"Bebbington, Mark",740.83,196.92,111,937.75,Persona,,,,
Carla,49,1/13/2014,Holyoke Producciones,434.94,115.61,87,550.55,Empresa,,,,
Luz,50,1/14/2014,"Griffin, Kyle",791.49,210.39,105,1001.88,Persona,,,,
Luis,51,1/14/2014,"Hill, Lucas",365.16,97.06,109,462.22,Persona,,,,
